Media ID,Comment ID,Username,Comment Text,Comment Created At,Translated Comment Text
3350608950220382835,18003641276327192,yasmeenarch,🍉🍉🍉,2024-05-29 21:28:06+00:00,
3350608950220382835,18300551539086328,david_cohen77,That's why moral people MUST stand by Israel and stop making up excuses for Hamas.,2024-05-28 17:40:07+00:00,That's why moral people MUST stand by Israel and stop making up excuses for Hamas.
3350608950220382835,18061619965510378,sammy_barax,I will not stay silent ! Israel 🇮🇱 please eradicate Hamas child killers !!!!,2024-05-28 17:14:29+00:00,I will not stay silent ! Israel 🇮🇱 please eradicate Hamas child killers !!!!
3350608950220382835,18033037324952528,yasmeen_andrikopoulos,"What is happening in Palestine is nothing short of a #dystopia - long gone the time of peaceful protests, we need fundamental changes from our governments. Sanctions. Boycott and the complete dismantling of Israeli regime. #enoughwiththebullshit that is Israel. #dismantleisrael",2024-05-28 17:12:00+00:00,"What is happening in Palestine is nothing short of a #dystopia - long gone the time of peaceful protests, we need fundamental changes from our governments. Sanctions. Boycott and the complete dismantling of Israeli regime. #enoughwiththebullshit that is Israel. #dismantleisrael"
3350608950220382835,17906344790970901,apriliarahayuanuar,#stopsilencingpalestine #palestinewillbefree #endtheoccupationofpalestine🇵🇸 #endisraelsgenocide #freepalestine 🇵🇸 #permanentceasefirenow🇵🇸,2024-05-28 14:01:05+00:00,#stopsilencingpalestine #palestinewillbefree #endtheoccupationofpalestine🇵🇸 #endisraelsgenocide #freepalestine 🇵🇸 #permanentceasefirenow🇵🇸
3350608950220382835,18005684126439866,kaiofzm,"@milkbaroflove aka, no excuse. they will be questioned why they said nothing.",2024-04-30 21:07:20+00:00,"@milkbaroflove aka, no excuse. they will be questioned why they said nothing."
3350608950220382835,18122993464353585,neonbettyclr,❤️🇵🇸,2024-04-26 14:58:30+00:00,
3350608950220382835,18048767251589302,nutrition_nerrrd,@thebabylonbee,2024-04-26 02:48:07+00:00,@thebabylonbee
3350608950220382835,18023291246119768,__sprezzaturaa,#freepalestine,2024-04-25 07:12:23+00:00,#freepalestine
3350608950220382835,17859228837138431,wowo.bunita,👏👏👏,2024-04-24 00:17:12+00:00,
3350608950220382835,18026881931064287,ayeeeeesha_ahmed,"Word #saveRafah
#feednorthgaza
#freepalestine🇵🇸
#ceasefirenow🇵🇸",2024-04-23 20:54:13+00:00,"Word #saveRafah
#feednorthgaza
#freepalestine🇵🇸
#ceasefirenow🇵🇸"
3350608950220382835,18020920517277356,aotearoa1407,Being silent or ignorant for the right one means supporting the wrong one,2024-04-23 09:03:29+00:00,Being silent or ignorant for the right one means supporting the wrong one
3350608950220382835,18026546186020390,jackie_maginn5,🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,2024-04-23 05:57:55+00:00,
3350608950220382835,17989987319634677,david.dalessi0,"@saharacook13 it’s something that’s happening on the other side of the world that isn’t physically affecting me, it’s the least of my concern",2024-04-22 10:35:45+00:00,"@saharacook13 it’s something that’s happening on the other side of the world that isn’t physically affecting me, it’s the least of my concern"
3350608950220382835,17900380688900671,dandoona1966,Absolutely sitting on the fence is supporting genocide,2024-04-22 05:37:11+00:00,Absolutely sitting on the fence is supporting genocide
3350608950220382835,17919494666905845,avictoryrose,😂😂,2024-04-22 04:12:39+00:00,
3350608950220382835,17845143861207648,saharacook13,@raul.aragon.sanchez more important than ending genoc!de? get over yourself. you can care about more than one thing.,2024-04-22 01:13:23+00:00,@raul.aragon.sanchez more important than ending genoc!de? get over yourself. you can care about more than one thing.
3350608950220382835,18038524399694678,ihssanjaber,الي ساكت عن الحق شيطان اخرس,2024-04-21 22:28:23+00:00,Whoever is silent about the truth is a mute devil
3350608950220382835,18124570837350084,ihssanjaber,100%,2024-04-21 22:27:27+00:00,100%
3350608950220382835,18060475978554256,alexandregiachetti,@rapidtherapywithnazia me too! 🤯😭,2024-04-21 20:55:44+00:00,@rapidtherapywithnazia me too! 🤯😭
3350608950220382835,17978702015680068,alexandregiachetti,So true!,2024-04-21 20:55:31+00:00,So true!
3350608950220382835,18119364949359658,in_advance_of_the_broken_arm,Amen.,2024-04-21 20:51:27+00:00,Amen.
3350608950220382835,17913583880924376,jf_daly,Freedom and peace for Palestine 🇵🇸🇵🇸,2024-04-21 19:48:49+00:00,Freedom and peace for Palestine 🇵🇸🇵🇸
3350608950220382835,18078163225464124,raul.aragon.sanchez,@rapidtherapywithnazia many people have more important things to do with their lives.,2024-04-21 16:45:38+00:00,@rapidtherapywithnazia many people have more important things to do with their lives.
3350608950220382835,18022148396144913,raul.aragon.sanchez,“Only a Sith deals in absolutes.”,2024-04-21 16:45:02+00:00,“Only a Sith deals in absolutes.”
3350608950220382835,17871671547087081,corbinzoo,🙌,2024-04-21 16:37:08+00:00,
3350608950220382835,18144101107315086,decarlomatano,Indeed. FREE PALESTINE 🇵🇸,2024-04-21 16:07:52+00:00,Indeed. FREE PALESTINE 🇵🇸
3350608950220382835,18016009451262292,underthebajasky,Can't scream this loud enough!,2024-04-21 15:40:12+00:00,Can't scream this loud enough!
3350608950220382835,18016570565260977,ashcraftcarol,Yes yes speak up !!!!!!!’,2024-04-21 15:33:32+00:00,Yes yes speak up !!!!!!!’
3350608950220382835,18100269253392110,zazazou_de_la_zaied,💪🏽💪🏽💪🏽,2024-04-21 10:31:04+00:00,
3350608950220382835,18036781981853453,2t_tarmamade,✊🏽✊🏽✊🏽✊🏽,2024-04-21 09:53:56+00:00,
3350608950220382835,18012266129111854,pietermatthiasvanderveen,🕊️🇵🇸🤍,2024-04-21 09:30:47+00:00,
3350608950220382835,18029690050994189,farrah1love,❤️🙌💯👏,2024-04-21 08:37:26+00:00,
3350608950220382835,18225953146274459,rapidtherapywithnazia,Disgusted by how many people still stay silent.,2024-04-21 08:09:27+00:00,Disgusted by how many people still stay silent.
3350608950220382835,17951894747662797,yns.g_,🍉🍉🍉,2024-04-21 08:02:32+00:00,
3350608950220382835,18008978801376352,sejdafc,💪🏼🍉🍉🍉💪🏼⚖️,2024-04-21 07:54:44+00:00,
3350608950220382835,18294169063081793,oceanglider,🙌,2024-04-21 07:51:48+00:00,
3350608950220382835,17921522225866425,fatiimatjezz,#freepalestine#savepalestine#stopkillingchildren#stopisrael#freedom#humanrights#peace#savegaza#stopwar#freepalestine🇵🇸#stopgenocideingaza#stopgenocide#stopwar#zionism#zionismisterrorism#zionismisracism#ceasefirenow🇵🇸#killer#murder#butchers#bringshaunback#freepress#press#journalism#journalist#ghostedforgenocide#remembertheirnames#🍉#yemen#southafrica#internationalcriminalcourt,2024-04-21 07:08:01+00:00,#freepalestine#savepalestine#stopkillingchildren#stopisrael#freedom#humanrights#peace#savegaza#stopwar#freepalestine🇵🇸#stopgenocideingaza#stopgenocide#stopwar#zionism#zionismisterrorism#zionismisracism#ceasefirenow🇵🇸#killer#murder#butchers#bringshaunback#freepress#press#journalism#journalist#ghostedforgenocide#remembertheirnames#🍉#yemen#southafrica#internationalcriminalcourt
3350608950220382835,18319650427122287,milkbaroflove,IGNORANCE iS NO EXCUSE unless you are Walt Disney and you have been defrosted,2024-04-21 06:48:32+00:00,IGNORANCE iS NO EXCUSE unless you are Walt Disney and you have been defrosted
3350608950220382835,17856698946153763,antonsiebrits,💯,2024-04-21 06:45:42+00:00,
3350608950220382835,18009968828372873,ves.babic,💯 ❤️🇵🇸✌️,2024-04-21 06:42:08+00:00,
3350608950220382835,18027269954022790,thesmuggler,@gov.ch @nzz @tagesanzeiger @srg.ssr @swissinfo.ch_en @blick @icrc …. History reminder,2024-04-21 05:26:50+00:00,@gov.ch @nzz @tagesanzeiger @srg.ssr @swissinfo.ch_en @blick @icrc …. History reminder
3350608950220382835,18264890521233106,anna_lucia_s,🙌,2024-04-21 04:51:20+00:00,
3350608950220382835,18431931181051573,giselaandphotography,Exactly,2024-04-21 02:29:32+00:00,Exactly
3350608950220382835,18002031743579348,mak_k0_z,Accurate 💯 ❤️❤️🙌🙌🙌,2024-04-21 00:48:49+00:00,Accurate 💯 ❤️❤️🙌🙌🙌
3350608950220382835,17952669683657756,intrsoul,👏👏👏👏,2024-04-21 00:40:33+00:00,
3350608950220382835,18001857059582766,theflowerbedcabin,✌🏻🙌💯,2024-04-21 00:13:24+00:00,
